"FineID","IssueID","FineReason","FixedFinePerDay","Multiple","FixedFine","TotalFine"
"111","314","p","0","147","0","0"
"112","258","p","0","150","0","0"
"113","320","p","0","147","0","0"
"114","319","p","0","147","0","0"
"115","347","p","0","146","0","0"
"116","318","p","0","147","0","0"
"117","317","p","0","147","0","0"
"118","312","p","0","147","0","0"
"119","275","p","0","150","0","0"
"120","369","p","0","144","0","0"
"121","341","p","0","146","0","0"
"122","322","p","0","147","0","0"
"123","263","p","0","150","0","0"
"124","367","p","0","144","0","0"
"125","366","p","0","144","0","0"
"126","361","p","0","144","0","0"
"127","212","p","0","157","0","0"
"128","323","p","0","147","0","0"
"129","336","p","0","147","0","0"
"130","335","p","0","147","0","0"
"131","337","p","0","147","0","0"
"132","334","p","0","147","0","0"
"133","360","p","0","144","0","0"
"134","329","p","0","147","0","0"
"135","330","p","0","147","0","0"
"136","364","p","0","144","0","0"
"137","333","p","0","147","0","0"
"138","0","p","0","183","0","0"
"139","144","pcp","0","187","0","0"
"140","171","PCP","0","153","0","0"
"141","356","PCP","0","142","0","0"
"142","355","PCP","0","142","0","0"
"143","354","PCP","0","142","0","0"
"144","152","PCP","0","175","0","0"
"145","157","p","0","178","0","0"
"146","156","p","0","178","0","0"
"147","0","p","0","194","0","0"
"148","89","p","0","194","0","0"
"149","88","p","0","194","0","0"
"150","87","p","0","194","0","0"
"151","346","P","0","171","0","0"
"152","345","P","0","171","0","0"
"153","306","P","0","173","0","0"
"154","390","p","0","170","0","0"
"155","387","p","0","171","0","0"
"156","308","p","0","180","0","0"
"157","310","P","0","180","0","0"
"158","433","PCP","0","8","0","0"
"159","445","p","0","1","0","0"
"160","436","PCP","0","2","0","0"
"161","442","-","0","2","0","0"
"162","454","PCP","0","5","0","0"
"163","386","PCP","0","181","0","0"
"164","490","P","0","3","0","0"
"165","493","P","0","3","0","0"
"166","480","OVER DUE DATE","0","4","0","0"
"167","494","OVER DUE DATE","0","3","0","0"
"168","63","P","0","222","0","0"
"169","62","P","0","222","0","0"
"170","61","P","0","222","0","0"
"171","60","P","0","222","0","0"
"172","485","P","0","5","0","0"
"173","528","pcp","0","1","0","0"
"174","513","pcp","0","3","0","0"
"175","522","pcp","0","2","0","0"
"176","515","pcp","0","3","0","0"
"177","441","pcp","0","10","0","0"
"178","440","pcp","0","10","0","0"
"179","530","pc p","0","1","0","0"
"180","529","pcp","0","1","0","0"
"181","536","pcp","0","1","0","0"
"182","534","pcp","0","1","0","0"
"183","533","pcp","0","1","0","0"
"184","458","pcp","0","9","0","0"
"185","457","pcp","0","9","0","0"
"186","495","pcp","0","7","0","0"
"187","525","pcp","0","4","0","0"
"188","518","pcp","0","5","0","0"
"189","459","p","0","12","0","0"
"190","372","p","0","189","0","0"
"191","508","p","0","7","0","0"
"192","526","p","0","6","0","0"
"193","524","p","0","6","0","0"
"194","551","p","0","1","0","0"
"195","540","p","0","2","0","0"
"196","539","p","0","2","0","0"
"197","549","p","0","1","0","0"
"198","555","p","0","1","0","0"
"199","432","p","0","2","0","0"
"200","431","p","0","2","0","0"
"201","404","p","0","17","0","0"
"202","426","p","0","7","0","0"
"203","412","p","0","12","0","0"
"204","255","p","0","202","0","0"
"205","254","p","0","202","0","0"
"206","382","p","0","190","0","0"
"207","150","p","0","217","0","0"
"208","149","p","0","226","0","0"
"209","111","p","0","231","0","0"
"210","376","p","0","192","0","0"
