"SrNo","ControlNo","SubscriptionNo","Title","VolNo","IssueNo","RecDate","ExpDate","Publisher","Place","Year","ISSN","SpIssue","Frequency","LanguageUsed","Category","FromDate","ToDate","InvoiceNo","InvDate","Amount","VendorName"
"7","J00007","T- NP & MAG.","P C QUEST","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","","","","","","","MAGAZINE","2010-01-04 00:00:00","2013-12-25 00:00:00","","2012-07-23 00:00:00","1600","9.9 MEDIA PVT.LTD."
"8","J00008","3726","DATAQUEST","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","","","","","","","MAGAZINE","2012-01-03 00:00:00","2013-12-25 00:00:00","","2012-07-23 00:00:00","1200","9.9 MEDIA PVT.LTD."
"1","J00001","IEN/5547","INDUSTRIAL EQUIPMENT NEWS","XXIX","06","2012-08-13 00:00:00","2012-07-23 00:00:00","BALAJI PUBLISHERS","MUMBAI","JUN-2012","0971-7897","","MONTHLY","ENGLISH","MAGAZINE","2009-02-13 00:00:00","2012-02-13 00:00:00","008","2012-07-23 00:00:00","350","BALAJI PUBLISHERS"
"2","J00002","E-98682","ELECTRONICS FOR YOU","","","2012-07-23 00:00:00","2012-07-23 00:00:00","EFY/LFY/E.BAZAAR","MUMBAI","2012","","","MONTHLY","ENGLISH","MAGAZINE","2009-07-29 00:00:00","2012-08-29 00:00:00","343959","2012-07-23 00:00:00","575","EFY/LFY & E-BAZAAR"
"3","J00003","Z-4495","ELECTRONICS BAZAAR","","","2012-07-23 00:00:00","2012-07-23 00:00:00","EFY/LFY/E.BAZAAR","MUMBAI","2012","","","MONTHLY","ENGLISH","MAGAZINE","2009-01-09 00:00:00","2012-08-09 00:00:00","33451","2012-07-23 00:00:00","480","EFY/LFY & E-BAZAAR"
"4","J00004","EK/1/078/0200","ELEKTOR INDIA","","","2012-07-23 00:00:00","2012-07-23 00:00:00","ELECTOR INDIA","MUMBAI","2012","","","MONTHLY","ENGLISH","MAGAZINE","2011-08-18 00:00:00","2012-08-18 00:00:00","E11/158/11-12","2012-07-23 00:00:00","1100","ELEKTOR INDIA"
"5","J00005","R003422","DIGIT (CHIP)","","","2012-07-23 00:00:00","2012-07-23 00:00:00","9.9 MEDIA PVT.LTD.","MUMBAI","2012","","","MONTHLY","ENGLISH","MAGAZINE","2011-12-25 00:00:00","2013-12-25 00:00:00","","2012-07-23 00:00:00","1699","9.9 MEDIA PVT.LTD."
"6","J00006","L-17797","LINUX FOR YOU","","","2012-07-23 00:00:00","2012-07-23 00:00:00","EFY/LFY/E.BAZAAR","MUMBAI","2012","","","MONTHLY","ENGLISH","MAGAZINE","2009-01-08 00:00:00","2012-08-08 00:00:00","343959","2012-07-23 00:00:00","960","9.9 MEDIA PVT.LTD."
"9","J00009","EI/3717","ELECTRICAL INDIA","","","2012-07-23 00:00:00","2012-07-23 00:00:00","CHARRY PUBLICATION PVT.LTD.","MUMBAI","2012","","","MONTHLY","","MAGAZINE","2010-01-21 00:00:00","2014-01-25 00:00:00","","2012-07-23 00:00:00","600","CHARRY PUBLICATIONS PVT.LTD."
"10","J00010","LI/1832","LIGHTING INDIA","","","2012-07-23 00:00:00","2012-07-23 00:00:00","CHARRY PUBLICATIONS PVT.LTD.","MUMBAI","2012","","","MONTHLY","ENGLISH","MAGAZINE","2010-01-21 00:00:00","2013-01-25 00:00:00","","2012-07-23 00:00:00","675","CHARRY PUBLICATIONS PVT.LTD."
"11","J00011","ACR/11441","THE INNOVATIVE ACR","","","2012-07-23 00:00:00","2012-07-23 00:00:00","HIGH-TECH PUBLICATION PVT.LTD.","MUMBAI","2012","","","MONTHLY","","MAGAZINE","2009-03-08 00:00:00","2014-01-25 00:00:00","","2012-07-23 00:00:00","650","HIGH-TECH PUB.PVT.LTD."
"12","J00012","T- NP & MAG.","COMPETATION SUCCESS REVIEW","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","MUMBAI","2012","","","","","MAGAZINE","2012-07-23 00:00:00","2012-07-23 00:00:00","","2012-07-23 00:00:00","720",""
"13","J00013","T- NP & MAG.","LOKPRABHA (MARATHI)","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","MUMBAI","2012","","","WEEKLY","MARATHI","MAGAZINE","2012-07-23 00:00:00","2012-07-23 00:00:00","","2012-07-23 00:00:00","480","ELEKTOR INDIA"
"14","J00014","T- NP & MAG.","SAPTAHIK SAKAL","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","MUMBAI","2012","","","WEEKLY","MARATHI","MAGAZINE","2012-07-23 00:00:00","2012-07-23 00:00:00","","2012-07-23 00:00:00","480","ELEKTOR INDIA"
"15","J00015","T- NP & MAG.","SPORT STAR","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","MUMBAI","2012","","","WEEKLY","ENGLISH","MAGAZINE","2012-07-23 00:00:00","2012-07-23 00:00:00","","2012-07-23 00:00:00","480","ELEKTOR INDIA"
"16","J00016","T- NP & MAG.","TIMES OF INDIA","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","MUMBAI","2012","","","DAILLY","ENGLISH","NEWS PAPER","2012-07-23 00:00:00","2012-07-23 00:00:00","","2012-07-23 00:00:00","1080","INDUSTRIAL EQUIPMENT NEWS"
"17","J00017","T- NP & MAG.","HINDUSTAN TIMES","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","MUMBAI","2012","","","DAILLY","ENGLISH","NEWS PAPER","2012-07-23 00:00:00","2012-07-23 00:00:00","","2012-07-23 00:00:00","720","INDUSTRIAL EQUIPMENT NEWS"
"18","J00018","T- NP & MAG.","MUMBAI MIRROR","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","MUMBAI","2012","","","DAILLY","ENGLISH","NEWS PAPER","2012-07-23 00:00:00","2012-07-23 00:00:00","","2012-07-23 00:00:00","1080","INDUSTRIAL EQUIPMENT NEWS"
"19","J00019","T- NP & MAG.","LOKSATTA","","","2012-07-23 00:00:00","2012-07-23 00:00:00","","MUMBAI","2012","","","DAILLY","MARATHI","NEWS PAPER","2012-07-23 00:00:00","2012-07-23 00:00:00","","2012-07-23 00:00:00","1320","INDUSTRIAL EQUIPMENT NEWS"
