"RecNo","ACSNno","Title","Author_1","Price","Unit","Dollar_value","Total","Status","Subject","ACSNDate","Year","SUB_CODE"
"1455","N0001455","ELECTRICAL MACHINES-II (JIGARS SERIES)","SALVI,SANDESH","60","RS.","","","-","EE","","",""
"1439","N0001439","UTILISITION SYSTEMS (JIGERS SERIES)","KUMAR,S","60","RS.","","","-","EE","","",""
"1440","N0001440","ELECTRICAL POWER SYSTEMS-II (PART-3&4)","SALVI,SANDESH","53","RS.","","","-","EE","","",""
"1441","N0001441","ELECTRICAL POWER SYSTEMS-II (PART-3&4)","SALVI,SANDESH","53","RS.","","","-","EE","","",""
"1442","N0001442","ELECTRICAL POWER SYSTEMS-II (PART-3&4)","SALVI,SANDESH","25","RS.","","","-","EE","","",""
"1443","N0001443","ELECTRICAL POWER SYSTEMS-II (PART-3&4)","SALVI,SANDESH","25","RS.","","","-","EE","","",""
"1450","N0001450","ELECTRICAL POWER SYSTEMS-II ( JIGER SERIES )","SALVI,SANDESH","53","RS.","","","-","EE","","",""
"1378","N0001378","ELECTRICL MACHINES-1","CHAUDHARI,M.A.","65","RS.","","","-","EE","","1998",""
"1454","N0001454","UTILISATION SYSTEMS 9 JIGERS SERIES )","KUMAR,S","60","RS.","","","-","EE","","",""
"1432","N0001432","ELECTRICAL MACHINES-II (JIGARS SERIES)","SALVI,SANDESH","60","RS.","","","-","EE","","1998",""
"1456","N0001456","ELECTRICAL MACHINES-II (JIGARS SERIES)","SALVI,SANDESH","60","RS.","","","-","EE","","",""
"1457","N0001457","ELECTRICAL MACHINERY ( THEORY,PERFORMANCE & APPLICATIONS","BIMBHRA,P.S.","145","RS.","","","-","EE","","1999",""
"1468","N0001468","ATB. OF ELECTRICAL ENGINEERING","DESHMUKH,B.H.","90","RS.","","","-","EE","","1999",""
"1469","N0001469","ATB. OF ELECTRICAL ENGINEERING","DESHMUKH,B.H.","90","RS.","","","-","EE","","1999",""
"1472","N0001472","FUNDAMENTALS OF ELECTRICAL ENGINEERING & ETC.","THERAJA,B.L. & THERAJA, A.K.","170","RS.","","","-","EE","","",""
"1473","N0001473","FUNDAMENTALS OF ELECTRICAL ENGINEERING & ETC.","THERAJA,B.L. & THERAJA, A.K.","170","RS.","","","-","EE","","",""
