"ACSNno","ACSNDate","RecNo","Title","Subtitle","Author_1","Author_2","SUB_CODE","Subject","Price","Unit","Dollar_value","Total","Edition","Publisher","Place_Publication","Year","Classification_no","Category","Pages","BO","Size","Size_Unit","ISBN","Author_mark","Keyword","Keyword1","Language","Volume","Reference","Location","Bill_no","Bill_Date","Binding","Source","Source_detail","ReturnFlag"
"N0000001","","1","CHAND S DICTIONARY OF COMPUTER SCIENCE","","ARORA P.N.& ARORA M.C.","","","GEN","125","RS.","","","1","S.CHAND","NEW DELHI","1996","603","","","","","","","ARO","","","","","","","","","","","","0"
"N0008270","","8270","ENGLISH","","PATIL,S.H.& JADHAV,A.N.","","","ENG","80","RS.","","","2","NIRALI PUB. ","PUNE","2012","400","","","","","","","PAT","","","","","","","","","","","","0"
"N0008271","","8271","ENGLISH","","PATIL,S.H.& JADHAV,A.N.","","","ENG","80","RS.","","","2","NIRALI PUB. ","PUNE","2012","400","","","","","","","PAT","","","","","","","","","","","","0"
"N0008272","","8272","ENGLISH","","PATIL,S.H.& JADHAV,A.N.","","","ENG","80","RS.","","","2","NIRALI PUB. ","PUNE","2012","400","","","","","","","PAT","","","","","","","","","","","","0"
"N0008273","","8273","ENGLISH","","PATIL,S.H.& JADHAV,A.N.","","","ENG","80","RS.","","","2","NIRALI PUB. ","PUNE","2012","400","","","","","","","PAT","","","","","","","","","","","","0"
"N0008274","","8274","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008275","","8275","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008276","","8276","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008277","","8277","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008278","","8278","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008279","","8279","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008280","","8280","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008281","","8281","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008282","","8282","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008283","","8283","BASIC WORKSHOP PRACTICE","","KHARCHE,ANAND","","","W","85","RS.","","","1","NIRALI PUB. ","PUNE","2012","670","","","","","","","KHA","","","","","","","","","","","","0"
"N0008284","","8284","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","0"
"N0008285","","8285","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","1"
"N0008286","","8286","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","0"
"N0008287","","8287","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","0"
"N0008288","","8288","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","0"
"N0008289","","8289","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","0"
"N0008290","","8290","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","1"
"N0008291","","8291","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","0"
"N0008292","","8292","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","0"
"N0008293","","8293","BASIC SCIENCE CHEMISTRY","","NARKHEDE,S.N.& GANGRADE,R.M.","","","CHE","115","RS.","","","1","NIRALI PUB. ","PUNE","2012","540","","","","","","","NAR","","","","","","","","","","","","0"
"N0008294","","8294","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","1"
"N0008295","","8295","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","0"
"N0008296","","8296","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","1"
"N0008297","","8297","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","1"
"N0008298","","8298","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","1"
"N0008299","","8299","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","0"
"N0008300","","8300","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","0"
"N0008301","","8301","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","0"
"N0008302","","8302","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","1"
"N0008303","","8303","BASIC MATHEMATICS","","PATEL,B.M. & ETC.","","","MAT","200","RS.","","","1","NIRALI PUB. ","PUNE","2012","510","","","","","","","PAT","","","","","","","","","","","","1"
"N0008304","","8304","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008305","","8305","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008306","","8306","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008307","","8307","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008308","","8308","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008309","","8309","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008310","","8310","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008311","","8311","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008312","","8312","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","0"
"N0008313","","8313","BASIC SCIENCE PHYSICS","","PAWAR,M.S. & SUTAR,M.A.","","","PHY","120","RS.","","","1","NIRALI PUB. ","PUNE","2012","530","","","","","","","PAW","","","","","","","","","","","","1"
"N0008314","","8314","COMPUTER FUNDAMENTALS","","MIRANI,JYOTI & AGGARWAL,VIKAS","","","CO","90","RS.","","","1","NIRALI PUB. ","PUNE","2012","","","","","","","","MIR","","","","","","","","","","","","0"
"N0008315","","8315","COMPUTER FUNDAMENTALS","","MIRANI,JYOTI & AGGARWAL,VIKAS","","","CO","90","RS.","","","1","NIRALI PUB. ","PUNE","2012","","","","","","","","MIR","","","","","","","","","","","","0"
"N0008316","","8316","COMPUTER FUNDAMENTALS","","MIRANI,JYOTI & AGGARWAL,VIKAS","","","CO","90","RS.","","","1","NIRALI PUB. ","PUNE","2012","","","","","","","","MIR","","","","","","","","","","","","0"
"N0008317","","8317","COMPUTER FUNDAMENTALS","","MIRANI,JYOTI & AGGARWAL,VIKAS","","","CO","90","RS.","","","1","NIRALI PUB. ","PUNE","2012","","","","","","","","MIR","","","","","","","","","","","","0"
"N0008318","","8318","COMPUTER FUNDAMENTALS","","MIRANI,JYOTI & AGGARWAL,VIKAS","","","CO","90","RS.","","","1","NIRALI PUB. ","PUNE","2012","","","","","","","","MIR","","","","","","","","","","","","0"
"N0008319","","8319","COMPUTER FUNDAMENTALS","","MIRANI,JYOTI & AGGARWAL,VIKAS","","","CO","90","RS.","","","1","NIRALI PUB. ","PUNE","2012","","","","","","","","MIR","","","","","","","","","","","","0"
